Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	common|beta	common|z	common|p-value	common|fdr	common|wald-p-value	common|wald-fdr	BG11_Control|beta	BG11_Control|z	BG11_Control|p-value	BG11_Control|fdr	BG11_Control|wald-p-value	BG11_Control|wald-fdr	BG11_Lys|beta	BG11_Lys|z	BG11_Lys|p-value	BG11_Lys|fdr	BG11_Lys|wald-p-value	BG11_Lys|wald-fdr
slr0869	5	0.0035848	1.0106	0.78351	0.99804	0.31222	0.51587	0.0004481	1.0106	0.78351	0.99804	0.31222	0.51587	-0.018701	-0.89992	0.80715	0.99194	0.36816	0.61158	0.019149	0.9214	0.79699	0.99154	0.35684	0.60017
psbD	5	-0.063847	-4.4649	0.0066432	0.12274	8.0092e-06	0.0001496	-0.0079809	-4.4649	0.0066432	0.12274	8.0092e-06	0.0001496	-0.045148	-0.53381	0.52814	0.98134	0.59347	0.77882	0.037167	0.43934	0.60766	0.99154	0.66042	0.81909
glgX2	5	0.040988	2.2436	0.057835	0.50859	0.024858	0.11199	0.0051235	2.2436	0.057835	0.50859	0.024858	0.11199	0.01605	0.15026	0.77491	0.99194	0.88056	0.94718	-0.010927	-0.10229	0.83783	0.99154	0.91852	0.9649
psbC	5	-0.083057	-5.1044	0.00097694	0.033784	3.319e-07	9.6515e-06	-0.010382	-5.1044	0.00097694	0.033784	3.319e-07	9.6515e-06	-0.18643	-1.9491	0.12095	0.71313	0.051284	0.20221	0.17605	1.8403	0.12896	0.73333	0.065731	0.23119
mutS2	5	0.010473	1.613	0.41227	0.99779	0.10675	0.27538	0.0013091	1.613	0.41227	0.99779	0.10675	0.27538	-0.016795	-0.4418	0.83275	0.99194	0.65864	0.81977	0.018104	0.47619	0.81028	0.99154	0.63394	0.8015
hofG	5	-0.0037181	-0.85048	0.8007	0.99804	0.39506	0.59381	-0.00046476	-0.85048	0.8007	0.99804	0.39506	0.59381	-0.075052	-2.9318	0.33157	0.94673	0.0033696	0.035148	0.074587	2.9135	0.33392	0.94545	0.0035744	0.0358
nth	5	0.0099784	1.6346	0.43572	0.99779	0.10213	0.26944	0.0012473	1.6346	0.43572	0.99779	0.10213	0.26944	-0.0085943	-0.23991	0.93435	0.99664	0.8104	0.90818	0.0098416	0.27467	0.9154	0.99703	0.78357	0.89137
lmbP	5	-0.002132	-0.25784	0.88941	0.99804	0.79653	0.88286	-0.0002665	-0.25784	0.88941	0.99804	0.79653	0.88286	-0.12382	-2.5477	0.18093	0.81914	0.010844	0.076975	0.12355	2.542	0.18288	0.81961	0.011021	0.076625
psbH	3	-0.049404	-3.165	0.076592	0.57205	0.0015511	0.014407	-0.0061755	-3.165	0.076592	0.57205	0.0015511	0.014407	0.21456	2.3416	0.045916	0.5	0.019204	0.11169	-0.22074	-2.4084	0.041813	0.48416	0.01602	0.098549
rimI	5	0.011138	2.0687	0.3857	0.98406	0.03857	0.14924	0.0013923	2.0687	0.3857	0.98406	0.03857	0.14924	0.0055956	0.17765	0.89566	0.99664	0.859	0.9352	-0.0042034	-0.13344	0.91598	0.99703	0.89385	0.95169
sll1160	5	0.0038713	0.88808	0.76573	0.99804	0.3745	0.57784	0.00048391	0.88808	0.76573	0.99804	0.3745	0.57784	0.012815	0.50253	0.81008	0.99194	0.61529	0.79043	-0.012331	-0.48353	0.822	0.99154	0.62872	0.79855
sll1161	5	0.0071182	1.3221	0.57425	0.99779	0.18613	0.38136	0.00088977	1.3221	0.57425	0.99779	0.18613	0.38136	-0.073252	-2.3191	0.34271	0.94939	0.020391	0.11431	0.074142	2.347	0.33587	0.9456	0.018925	0.10834
sll1162	5	0.011937	1.8346	0.35307	0.97255	0.066566	0.20888	0.0014922	1.8346	0.35307	0.97255	0.066566	0.20888	-0.030591	-0.80077	0.6778	0.99194	0.42327	0.6592	0.032084	0.83969	0.65885	0.99154	0.40108	0.63809
sll1163	5	-0.011046	-1.0743	0.51094	0.99779	0.28269	0.48893	-0.0013807	-1.0743	0.51094	0.99779	0.28269	0.48893	-0.0032675	-0.054336	0.99531	0.99902	0.95667	0.98121	0.0018868	0.031374	0.9875	0.99843	0.97497	0.98938
sll1164	5	-0.0028471	-0.73578	0.84642	0.99804	0.46187	0.6493	-0.00035589	-0.73578	0.84642	0.99804	0.46187	0.6493	-0.037846	-1.6707	0.6018	0.99097	0.094772	0.29414	0.03749	1.6549	0.60434	0.99154	0.09794	0.29793
cpcE	5	-0.0068568	-0.86309	0.66295	0.99804	0.38809	0.58869	-0.00085709	-0.86309	0.66295	0.99804	0.38809	0.58869	0.16046	3.452	0.049629	0.52049	0.00055654	0.0094945	-0.16131	-3.4701	0.049238	0.51731	0.00052027	0.0087764
sll0844	5	0.025737	1.8715	0.11821	0.71378	0.061279	0.19787	0.0032171	1.8715	0.11821	0.71378	0.061279	0.19787	0.30535	3.7885	0.00078156	0.038835	0.00015158	0.0038217	-0.30214	-3.7476	0.0011723	0.051282	0.0001785	0.0041526
ssl3829	5	0.0090398	1.506	0.48085	0.99779	0.13208	0.3131	0.00113	1.506	0.48085	0.99779	0.13208	0.3131	0.016262	0.46252	0.77198	0.99194	0.64371	0.81088	-0.015132	-0.43033	0.7925	0.99154	0.66695	0.82444
slr1882	5	0.0072598	0.91186	0.56663	0.99779	0.36184	0.56564	0.00090747	0.91186	0.56663	0.99779	0.36184	0.56564	0.075912	1.6226	0.27784	0.91338	0.10467	0.31273	-0.075004	-1.6028	0.28683	0.92058	0.10898	0.31709
pstS	5	0.00048523	0.063965	0.96346	0.99804	0.949	0.97467	6.0654e-05	0.063966	0.96346	0.99804	0.949	0.97467	-0.089332	-2.0105	0.26573	0.91167	0.044381	0.18442	0.089392	2.0117	0.26788	0.91204	0.044252	0.1835
nblA2	5	0.014558	2.0296	0.26983	0.9345	0.042399	0.15979	0.0018198	2.0296	0.26983	0.9345	0.042399	0.15979	-0.057815	-1.3776	0.43318	0.97343	0.16834	0.40435	0.059634	1.4209	0.42243	0.9665	0.15536	0.38523
ctaE2	5	-0.004589	-1.1927	0.75655	0.99804	0.233	0.4349	-0.00057363	-1.1927	0.75655	0.99804	0.233	0.4349	0.0044556	0.19772	0.91188	0.99664	0.84326	0.92574	-0.0050293	-0.22316	0.90641	0.99701	0.82341	0.91276
ssr2549	5	-0.0022454	-0.63529	0.88199	0.99804	0.52524	0.69823	-0.00028068	-0.63529	0.88199	0.99804	0.52524	0.69823	0.0071657	0.34638	0.87691	0.99664	0.72906	0.86055	-0.0074464	-0.35992	0.87886	0.99579	0.71891	0.85589
pstC	5	0.0081666	1.2207	0.52247	0.99779	0.22221	0.42297	0.0010208	1.2207	0.52247	0.99779	0.22221	0.42297	0.097202	2.484	0.18132	0.81914	0.012991	0.086802	-0.096181	-2.4578	0.19011	0.83305	0.013979	0.090565
pstB	5	0.0044962	1.0249	0.72685	0.99804	0.3054	0.50962	0.00056202	1.0249	0.72685	0.99804	0.3054	0.50962	0.009129	0.3558	0.85072	0.99452	0.72199	0.85736	-0.008567	-0.33388	0.86479	0.99282	0.73847	0.86448
pstA	5	-0.012225	-1.4262	0.47069	0.99779	0.15381	0.34108	-0.0015281	-1.4262	0.47069	0.99779	0.15381	0.34108	-0.027076	-0.54045	0.71024	0.99194	0.58889	0.77671	0.025548	0.50993	0.72333	0.99154	0.6101	0.78689
sll1956	5	-0.019594	-2.5797	0.28898	0.94593	0.0098873	0.060001	-0.0024493	-2.5797	0.28898	0.94593	0.0098873	0.060001	0.024715	0.55489	0.67331	0.99194	0.57897	0.77042	-0.027164	-0.6098	0.65533	0.99154	0.542	0.74448
sll1951	5	0.009192	2.32	0.4703	0.99779	0.02034	0.098515	0.001149	2.32	0.4703	0.99779	0.02034	0.098515	-0.079802	-3.447	0.30852	0.93739	0.00056677	0.0096308	0.080951	3.4966	0.30363	0.93421	0.00047118	0.008287
sll1950	5	0.012864	1.8496	0.32161	0.95874	0.064377	0.20477	0.0016079	1.8496	0.32161	0.95874	0.064377	0.20477	-0.053833	-1.3193	0.46229	0.97448	0.18708	0.42728	0.055441	1.3585	0.44979	0.97294	0.17431	0.40917
aspS	5	-0.03101	-2.8032	0.11841	0.71378	0.0050593	0.036214	-0.0038763	-2.8032	0.11841	0.71378	0.0050593	0.036214	0.39194	6.0337	0	0	1.6029e-09	5.0045e-07	-0.39581	-6.0915	0	0	1.1189e-09	3.3685e-07
ycf44	5	-0.00083306	-0.033521	0.96034	0.99804	0.97326	0.98662	-0.00010413	-0.033521	0.96034	0.99804	0.97326	0.98662	-0.2118	-1.4558	0.10805	0.69039	0.14545	0.37306	0.21169	1.455	0.11059	0.7033	0.14567	0.37232
menA	5	-0.044295	-4.4942	0.036733	0.38843	6.9832e-06	0.00013237	-0.0055369	-4.4942	0.036733	0.38843	6.9832e-06	0.00013237	0.054606	0.94691	0.40563	0.96828	0.34369	0.58908	-0.060143	-1.0429	0.36928	0.95023	0.29701	0.5441
ilvG	5	-0.054044	-3.695	0.016217	0.23513	0.00021985	0.0027714	-0.0067555	-3.695	0.016217	0.23513	0.00021985	0.0027714	0.18563	2.1445	0.028722	0.39837	0.03199	0.15146	-0.19238	-2.2215	0.023251	0.35736	0.026317	0.1327
slr1261	5	0.0056963	1.3689	0.65475	0.99804	0.17102	0.36154	0.00071204	1.3689	0.65475	0.99804	0.17102	0.36154	0.044374	1.8216	0.4871	0.9781	0.068519	0.24152	-0.043662	-1.7922	0.50039	0.98015	0.073103	0.24907
slr1260	5	0.0042506	0.45619	0.74248	0.99804	0.64825	0.7865	0.00053133	0.45619	0.74248	0.99804	0.64825	0.7865	0.070786	1.2955	0.30481	0.93739	0.19515	0.43653	-0.070254	-1.2856	0.31028	0.93421	0.1986	0.43906
slr1263	5	0.0065397	1.8347	0.60512	0.99779	0.066551	0.20888	0.00081746	1.8347	0.60512	0.99779	0.066551	0.20888	0.016094	0.7709	0.77374	0.99194	0.44076	0.67198	-0.015276	-0.73167	0.79132	0.99154	0.46437	0.68769
lacG	5	0.0076355	2.2496	0.54982	0.99779	0.024475	0.11056	0.00095443	2.2496	0.54982	0.99779	0.024475	0.11056	0.048045	2.42	0.45584	0.97343	0.015518	0.096739	-0.04709	-2.3718	0.47147	0.97509	0.0177	0.10436
slr1513	5	0.03551	4.1949	0.071512	0.55204	2.7301e-05	0.00044783	0.0044388	4.1949	0.071512	0.55204	2.7301e-05	0.00044783	-0.10278	-2.0774	0.22216	0.86898	0.037769	0.16765	0.10722	2.167	0.2118	0.85556	0.030232	0.14488
slr0267	5	-0.0050277	-0.55396	0.73662	0.99804	0.57961	0.7393	-0.00062846	-0.55396	0.73662	0.99804	0.57961	0.7393	0.31651	5.9383	0.00058617	0.03125	2.8806e-09	7.3714e-07	-0.31714	-5.948	0.00039078	0.022989	2.7142e-09	6.9455e-07
slr0264	5	0.014737	2.3959	0.26534	0.93297	0.016579	0.085534	0.0018421	2.3959	0.26534	0.93297	0.016579	0.085534	0.015217	0.42253	0.78449	0.99194	0.67264	0.82997	-0.013374	-0.37134	0.81184	0.99154	0.71038	0.85086
slr0265	1	0.012886	1.4002	0.52775	0.99779	0.16146	0.35194	0.0016108	1.4002	0.52775	0.99779	0.16146	0.35194	-0.0027942	-0.05197	0.96209	0.99664	0.95855	0.98172	0.004405	0.081927	0.97577	0.99843	0.9347	0.9722
slr0262	5	0.10131	0.66356	0.0041032	0.087866	0.50697	0.6827	0.012663	0.66356	0.0041032	0.087866	0.50697	0.6827	-0.80561	-0.90408	0.003517	0.10714	0.36595	0.6099	0.81827	0.91852	0.0048847	0.1269	0.35835	0.60057
slr0263	5	0.0094871	2.0232	0.45819	0.99779	0.04305	0.16151	0.0011859	2.0232	0.45819	0.99779	0.04305	0.16151	-0.018445	-0.67261	0.81028	0.99194	0.50119	0.71731	0.019631	0.71582	0.79152	0.99154	0.4741	0.69152
slr1515	5	-0.0057484	-0.47339	0.70672	0.99804	0.63594	0.77707	-0.00071855	-0.47339	0.70672	0.99804	0.63594	0.77707	0.024457	0.34364	0.67526	0.99194	0.73112	0.86184	-0.025175	-0.35369	0.6737	0.99154	0.72357	0.85725
sll1424	5	-0.0011599	-0.094234	0.94002	0.99804	0.92492	0.96136	-0.00014498	-0.094234	0.94002	0.99804	0.92492	0.96136	0.22611	3.1397	0.0089879	0.18699	0.0016915	0.020961	-0.22625	-3.1414	0.0091833	0.18577	0.0016814	0.020489
sll1426	5	0.010239	2.3795	0.42399	0.99779	0.017336	0.088547	0.0012798	2.3795	0.42399	0.99779	0.017336	0.088548	0.032605	1.2914	0.59398	0.99097	0.19656	0.43849	-0.031325	-1.2405	0.61333	0.99154	0.2148	0.45714
sll1158	5	0.0046976	1.0359	0.71473	0.99804	0.30026	0.50451	0.00058719	1.0359	0.71473	0.99804	0.30026	0.50451	0.042748	1.6111	0.50078	0.98134	0.10715	0.31699	-0.042161	-1.5889	0.51309	0.98127	0.11208	0.32245
sll1155	5	-0.018585	-3.3075	0.30852	0.95384	0.0009412	0.0094083	-0.0023231	-3.3075	0.30852	0.95384	0.0009412	0.0094083	0.050039	1.5159	0.43943	0.97343	0.12955	0.35062	-0.052362	-1.586	0.42282	0.9665	0.11274	0.32345
ssr2898	1	-0.0020478	-0.39343	0.79328	0.99804	0.694	0.8186	-0.00025598	-0.39343	0.79328	0.99804	0.694	0.8186	-0.038846	-1.2775	0.74678	0.99194	0.20144	0.44342	0.03859	1.269	0.74951	0.99154	0.20444	0.44656
sll1156	2	-0.00062838	-0.099728	0.89215	0.99804	0.92056	0.95831	-7.8547e-05	-0.099728	0.89215	0.99804	0.92056	0.95831	-0.049523	-1.3445	0.59926	0.99097	0.17879	0.41713	0.049444	1.3423	0.59809	0.99154	0.1795	0.41551
sll1151	5	0.0032309	0.70975	0.8052	0.99804	0.47786	0.66278	0.00040386	0.70975	0.8052	0.99804	0.47786	0.66278	-0.057089	-2.1364	0.43865	0.97343	0.032646	0.15347	0.057493	2.1513	0.43591	0.97294	0.031455	0.14825
sll1150	5	0.0084229	1.3508	0.50645	0.99779	0.17675	0.36939	0.0010529	1.3508	0.50645	0.99779	0.17675	0.36939	-0.037278	-1.0198	0.60766	0.99097	0.30783	0.55865	0.038331	1.0485	0.59613	0.99124	0.29442	0.54126
katG	5	0.006785	1.6945	0.59125	0.99779	0.090176	0.2502	0.00084812	1.6945	0.59125	0.99779	0.090176	0.2502	-0.0024256	-0.10361	0.99258	0.99823	0.91748	0.96402	0.0032737	0.13983	0.99512	0.99843	0.88879	0.94886
slr2062	5	0.0076661	1.928	0.54787	0.99779	0.053859	0.185	0.00095826	1.928	0.54787	0.99779	0.053859	0.185	-0.010581	-0.45464	0.91364	0.99664	0.64937	0.8133	0.01154	0.49578	0.89586	0.99698	0.62005	0.79316
sll1236	5	0.011493	2.1945	0.37163	0.98294	0.028199	0.12067	0.0014367	2.1945	0.37163	0.98294	0.028199	0.12067	0.062976	2.0538	0.34799	0.94939	0.039997	0.17377	-0.061539	-2.0067	0.36049	0.94928	0.044781	0.18483
slr2060	5	-0.014912	-1.3735	0.39332	0.99029	0.1696	0.36056	-0.001864	-1.3735	0.39332	0.99029	0.1696	0.36056	-0.011955	-0.18808	0.8941	0.99664	0.85081	0.93004	0.010091	0.15874	0.91227	0.99701	0.87387	0.93936
hemK	5	-0.0015916	-0.177	0.91657	0.99804	0.85951	0.9228	-0.00019895	-0.177	0.91657	0.99804	0.85951	0.9228	0.0084569	0.16081	0.86049	0.99664	0.87224	0.94419	-0.0086558	-0.16458	0.86245	0.99191	0.86927	0.93741
plsX	5	0.048325	0.63084	0.041618	0.42323	0.52814	0.70059	0.0060406	0.63084	0.041618	0.42323	0.52814	0.70059	-0.97927	-2.1853	0.00039078	0.021505	0.028869	0.14166	0.98531	2.199	0.0017585	0.06383	0.027877	0.13658
sll0242	5	0.0066744	1.7107	0.5973	0.99779	0.087132	0.24597	0.0008343	1.7107	0.5973	0.99779	0.087132	0.24597	-0.042288	-1.8518	0.55451	0.98143	0.064053	0.22989	0.043123	1.8882	0.5467	0.98127	0.058994	0.21628
sll1239	2	0.0016093	0.29073	0.99726	0.99844	0.77126	0.86678	0.00020116	0.29073	0.99726	0.99844	0.77126	0.86678	-0.042391	-1.3103	0.65572	0.99194	0.19011	0.43027	0.042592	1.3164	0.65162	0.99154	0.18803	0.42443
sll1949	5	0.00015464	0.021381	0.98261	0.99804	0.98294	0.99115	1.9331e-05	0.021381	0.98261	0.99804	0.98294	0.99115	0.040125	0.94775	0.52384	0.98134	0.34326	0.58855	-0.040105	-0.94722	0.5295	0.98127	0.34353	0.58836
slr1508	5	0.018572	2.2644	0.18699	0.86044	0.023552	0.10859	0.0023215	2.2644	0.18699	0.86044	0.023552	0.10859	0.085706	1.7866	0.23134	0.87879	0.074004	0.2525	-0.083384	-1.7381	0.24541	0.89533	0.082196	0.26812
slr2079	5	7.2319e-05	0.015579	0.9871	0.99804	0.98757	0.993	9.0399e-06	0.015579	0.9871	0.99804	0.98757	0.993	0.038557	1.4175	0.53791	0.98134	0.15634	0.38825	-0.038548	-1.417	0.54338	0.98127	0.15649	0.38616
ureA	5	-0.010037	-1.539	0.54728	0.99779	0.12381	0.30019	-0.0012546	-1.539	0.54728	0.99779	0.12381	0.30019	-0.010551	-0.27654	0.91403	0.99664	0.78213	0.8908	0.0092959	0.24364	0.92282	0.99843	0.80751	0.90414
ssl3769	5	0.014261	1.4367	0.27804	0.94176	0.1508	0.33664	0.0017827	1.4367	0.27804	0.94176	0.1508	0.33664	-0.15519	-2.6642	0.14361	0.7554	0.0077162	0.061198	0.15697	2.6947	0.144	0.76452	0.0070448	0.05678
sll1954	5	0.016294	1.8066	0.22919	0.90498	0.070829	0.21694	0.0020368	1.8066	0.22919	0.90498	0.070829	0.21694	0.040826	0.7728	0.51758	0.98134	0.43964	0.67113	-0.038789	-0.73416	0.54123	0.98127	0.46285	0.68643
hemB	5	-0.071828	-4.9587	0.0031262	0.072398	7.0954e-07	1.7977e-05	-0.0089785	-4.9587	0.0031262	0.072398	7.0954e-07	1.7977e-05	0.22645	2.6566	0.0089879	0.18699	0.0078928	0.061862	-0.23543	-2.7611	0.0072294	0.16017	0.0057599	0.050135
galE3	5	0.0026878	0.32734	0.83919	0.99804	0.74341	0.84933	0.00033597	0.32734	0.83919	0.99804	0.74341	0.84933	0.17184	3.5724	0.039664	0.47209	0.00035376	0.0068065	-0.1715	-3.5649	0.04025	0.47796	0.00036397	0.0068738
rbcR	5	0.033223	1.9668	0.081282	0.59149	0.04921	0.17526	0.0041529	1.9668	0.081282	0.59149	0.04921	0.17526	0.34693	3.5075	0.00019539	0.012821	0.00045239	0.0082691	-0.34277	-3.4649	0.00019539	0.014085	0.00053044	0.0088719
slr1505	5	0.0050244	0.33725	0.69519	0.99804	0.73593	0.84528	0.00062805	0.33725	0.69519	0.99804	0.73593	0.84528	-0.067242	-0.77153	0.37476	0.96048	0.44039	0.67197	0.06787	0.77871	0.37202	0.95224	0.43615	0.66713
slr1506	5	0.016828	1.495	0.21884	0.89672	0.13491	0.31731	0.0021035	1.495	0.21884	0.89672	0.13491	0.31731	-0.0091763	-0.13888	0.92751	0.99664	0.88954	0.95244	0.01128	0.17069	0.89937	0.99698	0.86447	0.93538
slr1507	5	-0.0083798	-1.1851	0.60102	0.99779	0.23596	0.43847	-0.0010475	-1.1851	0.60102	0.99779	0.23596	0.43847	0.13838	3.327	0.076983	0.62441	0.00087795	0.013285	-0.13943	-3.3511	0.076983	0.62441	0.00080479	0.012217
drgA	5	-0.011272	-1.119	0.5041	0.99779	0.26313	0.46599	-0.001409	-1.119	0.5041	0.99779	0.26313	0.46599	0.27954	4.7135	0.0015631	0.061538	2.4348e-06	0.0001449	-0.28095	-4.7353	0.0015631	0.06383	2.1874e-06	0.00013387
shc	5	-0.022454	-2.2811	0.2374	0.90667	0.02254	0.10506	-0.0028068	-2.2811	0.2374	0.90667	0.02254	0.10506	0.026913	0.46654	0.65104	0.99108	0.64083	0.80862	-0.02972	-0.51513	0.62603	0.99154	0.60647	0.7849
fabG2	5	0.011465	2.2744	0.37222	0.98294	0.02294	0.10635	0.0014332	2.2744	0.37222	0.98294	0.02294	0.10635	-0.053834	-1.825	0.46229	0.97448	0.068003	0.24036	0.055267	1.8735	0.45076	0.97294	0.061002	0.22043
kpsM	5	0.0028104	0.32627	0.83118	0.99804	0.74422	0.84933	0.0003513	0.32627	0.83118	0.99804	0.74422	0.84933	0.05032	0.99326	0.43708	0.97343	0.32058	0.57069	-0.049969	-0.98604	0.44549	0.97294	0.32411	0.56906
sll0254	5	0.012121	1.682	0.34623	0.97107	0.092567	0.25389	0.0015151	1.682	0.34623	0.97107	0.092567	0.25389	-0.14086	-3.3348	0.15846	0.78454	0.00085373	0.013082	0.14238	3.3704	0.15885	0.78855	0.00075052	0.011819
sll0245	5	0.016317	2.7338	0.22919	0.90498	0.0062607	0.042609	0.0020396	2.7338	0.22919	0.90498	0.0062607	0.042609	0.060909	1.7449	0.35873	0.94977	0.081005	0.26747	-0.05887	-1.6863	0.38003	0.95907	0.091729	0.28768
sll1147	5	0.010924	2.2627	0.39449	0.99029	0.023655	0.10877	0.0013655	2.2627	0.39449	0.99029	0.023655	0.10878	-0.050431	-1.7847	0.48789	0.9781	0.074308	0.25288	0.051796	1.8329	0.47675	0.97509	0.066814	0.23358
hisC2	5	-0.099467	-6.4288	0.00019539	0.0092593	1.2865e-10	8.3342e-09	-0.012433	-6.4288	0.00019539	0.0092593	1.2865e-10	8.3342e-09	0.012502	0.13675	0.81301	0.99194	0.89123	0.95318	-0.024936	-0.27267	0.67722	0.99154	0.7851	0.89213
sll0252	5	-0.0041174	-0.42404	0.78156	0.99804	0.67153	0.80245	-0.00051467	-0.42404	0.78156	0.99804	0.67153	0.80245	0.064033	1.1257	0.34193	0.94939	0.26028	0.51059	-0.064548	-1.1347	0.3431	0.94765	0.25652	0.50262
slr1503	5	-0.0026987	-0.51115	0.85522	0.99804	0.60925	0.76139	-0.00033733	-0.51115	0.85522	0.99804	0.60925	0.76139	-0.016232	-0.52402	0.83841	0.99194	0.60027	0.78172	0.015894	0.51306	0.83607	0.99154	0.60791	0.78588
sll1973	5	-0.00666	-0.5056	0.67018	0.99804	0.61314	0.76369	-0.00083251	-0.5056	0.67018	0.99804	0.61314	0.76369	-0.10152	-1.3111	0.22528	0.86898	0.18983	0.43026	0.10069	1.3002	0.22763	0.88072	0.19354	0.43216
sll0238	5	0.0075983	1.8223	0.551	0.99779	0.068406	0.21255	0.00094979	1.8223	0.551	0.99779	0.068406	0.21255	-0.023887	-0.97855	0.74404	0.99194	0.3278	0.57633	0.024836	1.0174	0.73114	0.99154	0.30897	0.55604
sll0237	5	0.007422	1.4686	0.56077	0.99779	0.14194	0.32659	0.00092775	1.4686	0.56077	0.99779	0.14194	0.32659	-0.011021	-0.37244	0.9066	0.99664	0.70957	0.85137	0.011949	0.40376	0.89078	0.99698	0.68639	0.83781
sll0236	5	0.0085368	1.6063	0.50078	0.99779	0.1082	0.27695	0.0010671	1.6063	0.50078	0.99779	0.1082	0.27695	-0.049928	-1.6018	0.49121	0.97973	0.1092	0.32018	0.050995	1.6358	0.48163	0.97509	0.10187	0.30414
dcoH	5	0.010471	1.7253	0.41247	0.99779	0.084468	0.24084	0.0013088	1.7253	0.41247	0.99779	0.084468	0.24084	-0.02348	-0.66085	0.74736	0.99194	0.50871	0.72186	0.024789	0.69762	0.73154	0.99154	0.48541	0.70027
proS	5	-0.021977	-1.3134	0.2456	0.91485	0.18904	0.38526	-0.0027471	-1.3134	0.2456	0.91485	0.18904	0.38526	0.29088	2.9469	0.0011723	0.049587	0.0032097	0.034043	-0.29362	-2.9732	0.0011723	0.051282	0.0029469	0.031421
ssr3570	4	0.011914	2.3215	0.3685	0.98294	0.020261	0.098476	0.0014892	2.3215	0.3685	0.98294	0.020261	0.098476	0.00031602	0.010505	0.96522	0.99664	0.99162	0.99629	0.0011732	0.038995	0.98593	0.99843	0.96889	0.98686
ntcA	5	-0.015546	-2.2114	0.3773	0.98294	0.027006	0.11834	-0.0019432	-2.2114	0.3773	0.98294	0.027006	0.11834	0.059027	1.4241	0.37222	0.96048	0.15442	0.38572	-0.06097	-1.4705	0.36323	0.94952	0.14142	0.36647
ntpJ	5	-0.0069218	-0.983	0.66081	0.99804	0.32561	0.53004	-0.00086523	-0.983	0.66081	0.99804	0.32561	0.53004	0.075709	1.8252	0.27902	0.91338	0.067967	0.24036	-0.076574	-1.8455	0.28038	0.92058	0.064967	0.23022
tyrA	5	-0.0053432	-0.99484	0.72352	0.99804	0.31981	0.52311	-0.00066789	-0.99484	0.72352	0.99804	0.31981	0.52311	0.062372	1.976	0.3517	0.94939	0.048154	0.19498	-0.06304	-1.9967	0.35209	0.948	0.045858	0.18724
ssr3571	2	0.00065179	0.13568	0.95369	0.99804	0.89207	0.94351	8.1473e-05	0.13568	0.95369	0.99804	0.89207	0.94351	0.0093209	0.33085	0.8728	0.99664	0.74076	0.86835	-0.0092394	-0.32791	0.87534	0.99533	0.74298	0.86834
cobA	5	0.00086717	0.15735	0.94725	0.99804	0.87497	0.93176	0.0001084	0.15735	0.94725	0.99804	0.87497	0.93176	-0.0030318	-0.093547	0.99844	0.99941	0.92547	0.96783	0.0031401	0.096872	0.99609	0.99843	0.92283	0.96704
ctaD2	5	-0.00032575	-0.069047	0.98886	0.99804	0.94495	0.97226	-4.0719e-05	-0.069047	0.98886	0.99804	0.94495	0.97226	-0.016153	-0.58446	0.83978	0.99194	0.55891	0.75835	0.016112	0.58294	0.83372	0.99154	0.55993	0.75653
slr2099	5	-0.026721	-2.1745	0.17116	0.83476	0.029671	0.1254	-0.0033402	-2.1745	0.17116	0.83476	0.029671	0.1254	0.0097641	0.13533	0.84447	0.99244	0.89235	0.95349	-0.013104	-0.1816	0.81419	0.99154	0.8559	0.931
slr2098	5	-0.013019	-1.6649	0.44607	0.99779	0.095925	0.25976	-0.0016274	-1.6649	0.44607	0.99779	0.095925	0.25976	0.00084864	0.018459	0.94998	0.99664	0.98527	0.99378	-0.002476	-0.053846	0.93689	0.99843	0.95706	0.98139
ssr2551	5	0.0096402	1.6312	0.45213	0.99779	0.10284	0.27034	0.001205	1.6312	0.45213	0.99779	0.10284	0.27034	0.065092	1.8803	0.33607	0.94818	0.060071	0.22134	-0.063887	-1.8452	0.34623	0.948	0.065005	0.23022
slr0269	5	0.082315	0.67919	0.010746	0.17974	0.49702	0.67635	0.010289	0.67919	0.010746	0.17974	0.49702	0.67635	-0.78002	-1.101	0.0041032	0.11579	0.27092	0.52048	0.79031	1.1157	0.0054709	0.13592	0.26456	0.5118
slr2096	1	0.014858	0.97914	0.45662	0.99779	0.32751	0.53246	0.0018573	0.97914	0.45662	0.99779	0.32751	0.53246	-0.028216	-0.31751	0.82786	0.99194	0.75085	0.87457	0.030073	0.33836	0.81204	0.99154	0.73509	0.86323
slr2095	2	0.017108	1.9633	0.2968	0.9476	0.049607	0.1757	0.0021384	1.9633	0.2968	0.9476	0.049607	0.1757	-0.0079993	-0.1568	0.96678	0.99664	0.87541	0.94492	0.010138	0.19869	0.94158	0.99843	0.8425	0.92412
slr2131	5	-0.045549	-4.742	0.033998	0.37339	2.1164e-06	4.7094e-05	-0.0056937	-4.742	0.033998	0.37339	2.1164e-06	4.7094e-05	0.14999	2.6591	0.061547	0.56452	0.0078344	0.061687	-0.15569	-2.7595	0.0551	0.5351	0.0057885	0.050298
sll1609	5	0.014659	2.365	0.26612	0.93297	0.018031	0.090739	0.0018323	2.365	0.26612	0.93297	0.018031	0.090739	-0.046252	-1.2681	0.51973	0.98134	0.20476	0.44823	0.048084	1.318	0.50156	0.98015	0.18749	0.42409
